Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-210.00826	124.53252	1.2782722	-518.9646	86.78261	-0.08853614	0.0313248	0.08129564	-0.2638518	4000	5.427003e-08	36232.945	-0.011081244	-1312.043	1.3503846	0.013968653	0.2225	79.0	2.762202024459839
1	-162.49692	78.896355	21.664793	-377.01407	86.04348	-4.175672	0.31837	-1.5509588	-4.531461	8000	-5.2928925e-08	21434.018	-0.008797228	-980.00195	1.3700145	0.007173006	0.0655	79.0	5.400490999221802
2	-154.85864	74.53181	-60.751465	-394.3246	98.6	-8.009045	0.71869147	3.5780623	-8.190461	12000	2.4437904e-08	15516.905	-0.009973148	-625.1035	1.3722429	0.007833399	0.08525	79.0	8.599165201187134
3	-128.99622	68.6332	-42.909237	-312.0885	93.38095	-10.86708	0.36715192	-4.2557826	-10.955915	16000	2.8789044e-08	12837.492	-0.010219375	-472.05957	1.357711	0.009893438	0.063	79.0	11.324710130691528
4	-138.63136	49.388508	-60.19419	-359.7858	90.431816	-13.371672	0.019921264	-12.976535	-13.403842	20000	7.4863436e-08	11490.134	-0.009479523	-481.25293	1.332533	0.015078024	0.08825	61.0	14.09637999534607
5	-126.46694	64.72787	23.5998	-327.47394	97.1	-15.874428	0.08659575	-13.305324	-15.908068	24000	-1.0609627e-08	10771.804	-0.010717861	-366.49902	1.3501225	0.010672237	0.06425	79.0	16.82691502571106
6	-117.07964	61.87589	-2.9114802	-316.47778	105.210526	-18.108673	0.10480367	-16.059818	-18.142141	28000	1.3262033e-07	8471.351	-0.008330269	-307.95947	1.3402745	0.011380048	0.11	79.0	19.914429903030396
7	-112.70951	68.20826	45.783756	-354.81537	111.057144	-20.168993	0.27417278	-16.344261	-20.21691	32000	4.6014787e-08	9177.433	-0.013151746	-291.96973	1.3239741	0.009783654	0.19225	79.0	23.068186044692993
8	-107.48444	60.499317	-10.366422	-265.75146	129.83333	-22.238867	0.036115337	-21.43308	-22.255543	36000	-1.2993812e-08	6482.5176	-0.010303798	-221.86914	1.2917905	0.0064740935	0.0915	79.0	26.67135000228882
9	-126.33879	83.02906	-23.147131	-342.87976	140.85715	-24.070677	0.16728501	-20.421078	-24.099161	40000	7.867813e-09	9560.363	-0.008525325	-316.81836	1.2555645	0.015478394	0.1375	16.0	30.378648042678833
10	-117.04978	70.95404	-5.3711667	-295.45074	131.23334	-26.269125	0.088848434	-24.020807	-26.287333	44000	4.0411948e-08	8612.493	-0.011382169	-312.48047	1.2770174	0.012489584	0.08925	79.0	34.48309898376465
11	-72.508644	53.23515	17.172266	-234.96414	131.56667	-28.499075	0.040650334	-27.518461	-28.512121	48000	1.4305114e-08	3798.4358	-0.010479566	-98.31372	1.2529907	0.009206759	0.104	79.0	37.725427865982056
12	-73.46905	78.153175	26.49126	-299.54135	167.04347	-29.831701	0.026714938	-29.421835	-29.843397	52000	4.7683715e-09	5205.631	-0.009549468	-55.347168	1.2165031	0.0047854586	0.05275	79.0	41.006471157073975
13	-70.22513	73.470116	48.931736	-278.58554	218.72223	-30.810244	0.109019585	-29.949965	-30.840887	56000	-1.6212464e-08	3470.5662	-0.010474551	-73.05176	1.1847427	0.012051819	0.135	79.0	44.68473696708679
14	-73.662605	81.212975	79.16646	-191.1767	267.41666	-31.935442	0.12786564	-31.06172	-31.987823	60000	2.1457671e-09	5949.561	-0.012341872	-63.010254	1.1945481	0.0114629455	0.10625	79.0	49.70609498023987
15	-67.85772	77.38777	48.384354	-250.71852	237.4375	-33.0439	0.12038736	-32.232952	-33.090664	64000	1.4066696e-08	4527.779	-0.0079091	-70.61133	1.1462771	0.0070453044	0.081	79.0	54.05088496208191
16	-66.51938	68.198845	19.68468	-192.34106	196.11765	-34.250565	0.03928183	-33.877956	-34.26582	68000	-8.46386e-09	4688.397	-0.0076621794	-72.399414	1.1464535	0.015052601	0.14925	23.0	57.296274185180664
17	-37.48869	56.111435	59.3459	-103.70073	347.4	-35.463493	0.08590609	-34.3639	-35.49923	72000	-8.5830685e-09	2887.603	-0.0105309775	-5.9714355	1.1200932	0.0067959293	0.07425	79.0	62.379626989364624
18	-73.01397	98.31998	99.682495	-239.5582	303.23077	-35.892704	0.037852373	-35.52323	-35.904747	76000	-8.3446505e-10	4577.451	-0.009091069	-55.512207	1.0974237	0.008423224	0.072	79.0	66.96186804771423
19	2.2658527	82.33771	144.46848	-145.34366	415.77777	-36.96092	0.11924346	-33.644417	-36.992706	80000	5.00679e-09	3027.539	-0.010805105	-3.3979492	1.1649578	0.013232162	0.148	79.0	72.12124419212341
20	13.181363	53.817535	139.91296	-58.382244	359.36365	-36.77675	0.036375947	-36.548195	-36.791355	84000	8.9406965e-10	2009.7549	-0.008252762	-18.187988	1.1652498	0.012088238	0.07825	79.0	77.32563591003418
21	-32.05131	72.2938	117.91936	-142.48335	389.4	-36.108925	0.047932353	-35.63904	-36.127247	88000	-2.0235777e-08	2161.1567	-0.0068404856	-0.8635254	1.1094981	0.007945476	0.09475	79.0	81.995285987854
